level;family;abbr;taxon;eiv.l;eiv.t;eiv.k;eiv.f;eiv.r;eiv.n;eiv.source;eiv.comment;authority;synonyms;vernacular.name;evc.taxon;evc.class.code;rl.aut;rl.sbg;law.sbg;rl.oö;rl.oö.bm;rl.oö.av;rl.oö.97;law.oö;endemic.aut;alien
vascular plants;Pinaceae;abie alba;Abies alba;3;5;4;x;x;x;;;sensu Fischer et al. 2008;;Edel-Tanne;Abies alba;FAG+PIC;;3*;;;;;V;;;
vascular plants;Pinaceae;abie gran;Abies grandis;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Riesen-Tanne;;;;;;N-U;N-U;N-U;;;;W
vascular plants;Pinaceae;abie nord;Abies nordmanniana;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Nordmann-Tanne;Abies nordmanniana;PIC;;;;N-U;N-U;;;;;W
vascular plants;Malvaceae;abut theo;Abutilon theophrasti;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Europäische Samtpappel;Abutilon theophrasti;BID+PAR;N-U;;;N-U;N-U;N-U;;;;W
vascular plants;Rosaceae;acae iner;Acaena inermis;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Wehrloses Stachelnüsschen;;;;;;N-U;;N-U;;;;W
vascular plants;Sapindaceae;acer camp;Acer campestre;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Feld-Ahorn;Acer campestre;FAG+POP+RHA;3;3;;;;;-r/A;;;
vascular plants;Sapindaceae;acer ginn;Acer ginnala;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Feuer-Ahorn;Acer tataricum;PUB;;;;N-U;;N-U;;;;W
vascular plants;Sapindaceae;acer negu;Acer negundo;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Eschen-Ahorn;Acer negundo;ROB;N-U;;;N-T;N-T;N-T;;;;H
vascular plants;Sapindaceae;acer plat;Acer platanoides;-;-;-;-;-;-;;;sensu Fischer et al. 2008;;Spitz-Ahorn;Acer platanoides;FAG;;;;;V;;;;;
vascular plants;Sapindaceae;acer pseu;Acer pseudoplatanus;4;x;4;6;x;7;;;sensu Fischer et al. 2008;;Berg-Ahorn;Acer pseudoplatanus;FAG;;;;;;;;;;
