abbr;layer;comment;13;95;102;91;65;4;111;78;109;75;110;47;34;92;28;114;35;76;115;71;101;100;103;104;106;21;107;18;9;41;105;67;68;6;99;43;79;112;20;1;8;22;27;29;66;70;17;46;77;48;51;69;82;14;7;12;52;24;26;30;80;25;58;84;85;81;83;57;73;15;87;93;94;5;19;49;108;53;61;23;33;64;96;74;31;113;56;2;62;90;89;32;36;55;42;10;59;50;40;86;37;60;54;3;88;38;44;39;45;63;97;98;72;16
abie alba;tl;Abies alba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2a;;;2a;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2b;2b;;;;;;;;;;;;;;;;
acer pseu;tl;Acer pseudoplatanus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;1;1;;;;1;1;1;;;;2a;;;;;;;;;;;;;2a;;;;;;;;;2a;+;;2a;2a;;;;2b;;2a;;;;2a;
fagu sylv;tl;Fagus sylvatica;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;;;;;;;;;;1;2b;1;1;1;;2a;2b;1;;;;;2a;;;1;4;;5;2b;3;4;4;2a;2a;3;3;3;2a;3;4;4;3;3;3;4;4;3;4;3;2b;3;4;3;2b
frax exce;tl;Fraxinus excelsior;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;2a;3;;;;;;;;;;;;;;;2a;;;;;;;;;;2a;;;;;;;;;;;;;;
pice abie;tl;Picea abies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;1;2a;2a;1;2b;2b;2a;2a;2a;;;2a;2b;;;3;;2b;2b;2a;1;;3;;3;3;;;;2b;;;1;2a;1;;;2a;2a;1;1;;1;;;3;3;;2a;2a
pinu sylv;tl;Pinus sylvestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
sorb aria;tl;Sorbus aria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2a;;;;;2b;;;;;;;;;;;;;2a;;;;;;;;;2b;2a;2a;1;2a;;;;2b;2a;2a;2b;2a;2a;;;;2b;2b;;2a;3;2a;;;;;1;2b;;;1;2a;2b;;;2b;+;;;;;;;;;;;;2a;;2b
sorb aucu aucu;tl;Sorbus aucuparia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;1;1;2b;2a;;+;1;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cory avel;sl;Corylus avellana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;
pice abie;sl;Picea abies;;;;;;;;;;;;;;;;;;;;;;2a;;;;;1;;;;;;;;;;;;;;;;;;;;;;2b;;;3;;2a;;;;;;;;;;;;;;;;;+;2a;;;;;;;;;;;1;;;;;;;+;1;;;;;;;;;;;;;;+;;;;;;;;;
sorb aria;sl;Sorbus aria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abie abie abie;ml;Abietinella abietina;;;;;;;;;;;;;;1;;;;1;1;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brac ruta;ml;Brachythecium rutabulum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;
bryu arge;ml;Bryum argenteum;;;;;;;;;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
