syntaxon;tv.code
Polygono arenastri-Poetea annuae;01
Polygono arenastri-Poetalia annuae;011
Matricario matricarioidis-Polygonion;0111
Saginion procumbentis;0112
Bidentetea tripartiti;02
Bidentetalia tripartiti;021
Bidention tripartiti;0211
Chenopodion glauci;0212
Stellarietea mediae;03
Centaureetalia cyani;031
Caucalidion lappulae;0311
Veronico-Euphorbion;0312
Chenopodietalia albi;032
Arnoseridion minimae;0321
Scleranthion annui;0322
Spergulo-Oxalidion;0323
Panico-Setarion;0324
Eragrostietalia;033
Salsolion ruthenicae;0331
Euphorbion prostratae;0332
Matricario chamomillae-Chenopodion;0333
Sisymbrietalia;034
Sisymbrion officinalis;0341
Atriplicion nitentis;0342
Malvion neglectae;0343
Artemisietea vulgaris;04
Onopordetalia acanthii;041
Onopordion acanthii;0411
Erysimo wittmannii-Hackelion;0412
Dauco-Melilotion;0413
Arction lappae;0414
Agropyretalia repentis;042
Convolvulo-Agropyrion repentis;0421
Agropyro-Kochion;0422
Galio-Urticetea;05
Lamio albi-Chenopodietalia;051
Galio-Alliarion;0511
Impatienti noli-tangere-Stachyion;0512
Aegopodion podagrariae;0513
Convolvuletalia sepium;052
Senecionion fluviatilis;0521
Petasition officinalis;0522
Epilobietea angustifolii;06
Atropetalia;061
Atropion;0611
Carici piluliferae-Epilobion;0612
Trifolio-Geranietea sanguinei;07
Origanetalia vulgaris;071
Geranion sanguinei;0711
Trifolion medii;0712
Melampyro-Holcetalia;072
Melampyrion pratensis;0721
Molinio-Arrhenatheretea;08
Molinietalia;081
Molinion;0811
Calthion (excl. Filipendulion);0812
Cnidion;0813
Deschampsion;0814
Veronico longifoliae-Lysimachion;0815
Filipendulion;0819
Arrhenatheretalia;082
Arrhenatherion;0821
Phyteumo-Trisetion;0822
Cynosurion;0823
Plantagini-Prunelletalia;083
Plantagini-Prunellion;0831
Poo alpinae-Trisetetalia;084
Polygono-Trisetion;0841
Poion alpinae;0842
Alchemillo-Poion supinae;0843
Potentillo-Polygonetalia;085
Potentillion anserinae;0851
Calluno-Ulicetea;09
Vaccinio-Genistetalia;091
Genistion pilosae;0911
Vaccinion vitis-idaeae;0912
Euphorbio-Callunion (excl. Koel-Phl);0913
Nardetalia;092
Violion caninae;0921
