"","id","taxon","l","t","k","f","r","n"
"1","1","Abies alba","3","5","4","x","x","x"
"2","80","Acer campestre","5","6","4","5","7","6"
"3","81","Acer monspessulanum","6","8","4","3","8","4"
"4","82","Acer negundo","5","6","6","6","7","7"
"5","0","Acer opalus agg.","5","8","4","4","8","6"
"6","83","Acer platanoides","4","6","4","x","x","x"
"7","84","Acer pseudoplatanus","4","x","4","6","x","7"
"8","90","Aceras anthropophorum","7","7","2","4","8","3"
"9","94","Achillea atrata agg.","9","2","4","5","8","3"
"10","0","Achillea cartilaginea","8","6","6","8","7","6"
"11","96","Achillea clavenae","8","2","5","5","8","3"
"12","97","Achillea clusiana","9","2","4","5","9","3"
"13","105","Achillea macrophylla","6","2","4","6","6","8"
"14","106","Achillea millefolium agg.","","","","","",""
"15","98","Achillea collina","9","6","6","2","7","2"
"16","107","Achillea millefolium","8","x","x","4","x","5"
"17","115","Achillea pannonica","7","7","6","3","6","2"
"18","118","Achillea roseoalba","8","6","4","5","7","7"
"19","119","Achillea setacea","9","7","8","2","7","1"
"20","110","Achillea moschata","9","1","4","6","3","2"
"21","0","Achillea nana","8","1","3","6","6","2"
"22","111","Achillea nobilis","8","7","7","4","8","1"
"23","117","Achillea ptarmica","8","6","3","8","4","2"
"24","123","Achnatherum calamagrostis","9","6","4","3","8","2"
"25","125","Acinos alpinus","9","3","3","5","9","2"
"26","126","Acinos arvensis","9","6","3","2","5","1"
"27","0","Aconitum napellus (ssp. neomontanum)","7","x","2","7","7","8"
"28","139","Aconitum napellus ssp. formosum","7","3","5","7","6","6"
"29","143","Aconitum napellus ssp. tauricum","8","2","5","5","7","7"
"30","132","Aconitum paniculatum","6","2","4","6","7","7"
"31","145","Aconitum variegatum","5","4","4","7","8","7"
"32","136","Aconitum lycoctonum","3","4","4","7","7","8"
"33","154","Acorus calamus","8","6","5","10","7","7"
"34","167","Actaea spicata","3","5","4","5","6","7"
"35","177","Adenophora liliifolia","7","6","6","6","8","2"
"36","179","Adenostyles alliariae","6","3","2","6","x","8"
"37","180","Adenostyles glabra","6","3","4","6","8","4"
"38","183","Adonis aestivalis","6","6","7","3","8","3"
"39","185","Adonis flammea","6","6","6","3","9","3"
"40","186","Adonis vernalis","7","6","7","3","7","2"
"41","188","Adoxa moschatellina","5","x","5","6","7","8"
"42","193","Aegopodium podagraria","5","5","3","6","7","8"
"43","197","Aethionema saxatile","9","4","4","4","9","2"
"44","199","Aethusa cynapium","","","","","",""
"45","200","Aethusa cynapium ssp. agrestis","7","7","3","4","9","5"
"46","201","Aethusa cynapium ssp. cynapioides","5","6","4","5","7","7"
"47","202","Aethusa cynapium ssp. cynapium","6","6","3","5","8","6"
"48","210","Agrimonia eupatoria","7","6","4","4","8","4"
"49","213","Agrimonia procera","5","6","3","5","6","4"
"50","3867.","Elymus caninus","6","6","3","6","7","8"
"51","3869.","Elytrigia intermedia","7","6","6","3","7","3"
"52","0","Agropyron junceiforme","9","6","3","6","7","7"
"53","0","Agropyron pungens (littorale)","9","7","2","5","7","5"
"54","3872.","Elytrigia repens","7","6","7","x","x","7"
"55","219","Agrostemma githago","7","x","x","x","x","x"
"56","224","Agrostis alpina","8","2","3","5","6","4"
"57","226","Agrostis canina","9","5","5","9","3","2"
"58","231","Agrostis rupestris","8","2","2","4","2","1"
"59","0","Agrostis scabra","8","6","?","8","4","?"
"60","232","Agrostis schleicheri","8","1","4","5","7","4"
"61","0","Agrostis schraderiana","6","2","6","5","6","6"
"62","229","Agrostis gigantea","7","5","3","8","7","6"
"63","234","Agrostis stolonifera","8","x","5","7","x","5"
"64","235","Agrostis vinealis","9","7","3","2","2","1"
"65","227","Agrostis capillaris","7","x","3","x","4","4"
"66","240","Ailanthus altissima","8","8","2","5","7","8"
"67","242","Aira caryophyllea","9","6","2","2","4","1"
"68","244","Aira praecox","9","6","2","2","2","1"
"69","246","Ajuga chamaepitys","7","8","2","4","9","2"
"70","247","Ajuga genevensis","8","x","x","3","7","2"
"71","248","Ajuga pyramidalis","7","x","2","5","1","1"
"72","249","Ajuga reptans","6","x","2","6","6","6"
"73","258","Alchemilla alpina agg.","9","2","2","5","2","2"
"74","268","Alchemilla conjuncta agg.","","","","","",""
"75","294","Alchemilla conjuncta grossidens","7","3","2","5","8","2"
"76","297","Alchemilla conjuncta hoppeana","9","2","4","5","9","3"
"77","319","Alchemilla conjuncta pallens","7","2","3","5","7","4"
"78","0","Alchemilla conjuncta plicatula","8","3","3","6","7","?"
"79","285","Alchemilla fissa agg.","","","","","",""
"80","276","Alchemilla fissa cuspidens","8","3","?","5","?","?"
"81","281","Alchemilla fissa fallax","8","3","4","5","4","2"
"82","286","Alchemilla fissa fissa","8","2","4","6","x","3"
"83","300","Alchemilla fissa incisa","8","3","?","8","8","2"
"84","318","Alchemilla fissa othmarii","8","3","?","5","7","2"
"85","0","Alchemilla fissa pyrenaica","8","3","?","5","?","2"
"86","298","Alchemilla hybrida agg.","","","","","",""
"87","0","Alchemilla hybrida colorata","8","2","3","4","7","2"
"88","280","Alchemilla hybrida exigua","8","3","?","5","8","4"
"89","287","Alchemilla hybrida flabellata","8","1","?","4","x","1"
"90","291","Alchemilla hybrida hybrida (glaucescens)","7","4","4","5","4","3"
"91","320","Alchemilla pentaphyllea","7","2","2","7","3","4"
"92","302","Alchemilla splendens kerneri","8","2","?","5","?","?"
"93","349","Alchemilla vulgaris agg.","","","","","",""
"94","350","Alchemilla vulgaris acutiloba","6","4","4","5","6","6"
"95","0","Alchemilla vulgaris cleistophylla","8","3","?","4","?","?"
"96","269","Alchemilla vulgaris connivens","7","4","?","5","7","x"
"97","271","Alchemilla vulgaris coriacea","7","3","3","9","4","3"
"98","273","Alchemilla vulgaris crinita","7","3","4","6","x","4"
"99","278","Alchemilla vulgaris decumbens","7","2","?","6","x","?"
"100","0","Alchemilla vulgaris demissa","7","3","?","7","x","?"
"101","279","Alchemilla vulgaris effusa","8","3","?","9","4","2"
"102","0","Alchemilla vulgaris gracilis","7","4","5","7","x","x"
"103","301","Alchemilla vulgaris inconcinna","7","3","?","5","6","6"
"104","310","Alchemilla vulgaris monticola (pastorali","6","x","5","5","6","4"
"105","315","Alchemilla vulgaris obtusa","7","3","?","6","4","4"
"106","325","Alchemilla vulgaris reniformis","7","3","4","8","4","2"
"107","327","Alchemilla vulgaris rubristipula","7","4","4","5","6","4"
"108","332","Alchemilla vulgaris sinuata","7","3","4","5","6","5"
"109","336","Alchemilla vulgaris straminea","7","4","4","9","4","3"
"110","337","Alchemilla vulgaris strigosula","7","4","4","5","?","?"
"111","339","Alchemilla vulgaris subcrenata","7","x","4","5","5","6"
"112","342","Alchemilla vulgaris tenuis","7","4","?","5","6","4"
"113","343","Alchemilla vulgaris tirolensis","7","3","?","5","7","5"
"114","0","Alchemilla vulgaris trunciloba","7","4","4","6","7","6"
"115","348","Alchemilla vulgaris versipila","8","2","4","5","8","4"
"116","352","Alchemilla vulgaris xanthochlora","6","4","2","7","7","?"
"117","420","Aldrovanda vesiculosa","5","8","4","12","7","4"
"118","426","Alisma gramineum","7","7","6","11","7","4"
"119","427","Alisma lanceolatum","7","7","2","10","7","5"
"120","429","Alisma plantago-aquatica","7","5","x","10","x","8"
"121","435","Alliaria petiolata","5","6","3","5","7","9"
"122","437","Allium angulosum","8","7","7","8","8","2"
"123","440","Allium carinatum","8","5","4","3","8","2"
"124","457","Allium senescens ssp. montanum","9","x","5","2","6","2"
"125","449","Allium oleraceum","7","6","4","3","7","4"
"126","450","Allium paradoxum","6","6","3","5","7","7"
"127","442","Allium pulchellum","9","7","6","2","8","1"
"128","452","Allium rotundum","7","7","6","4","8","4"
"129","454","Allium schoenoprasum","7","x","7","x","7","2"
"130","455","Allium scorodoprasum","6","6","5","7","7","7"
"131","458","Allium sphaerocephalon","9","8","5","3","8","2"
"132","459","Allium strictum","9","6","8","2","6","1"
"133","460","Allium suaveolens","7","6","5","8","9","2"
"134","461","Allium ursinum","2","x","2","6","7","8"
"135","462","Allium victorialis","8","3","?","5","6","4"
"136","463","Allium vineale","5","7","3","4","x","7"
"137","478","Alnus glutinosa","5","5","3","9","6","x"
"138","479","Alnus incana","6","4","5","7","8","x"
"139","477","Alnus viridis","7","3","4","6","5","7"
"140","487","Alopecurus aequalis","9","x","5","9","x","9"
"141","0","Alopecurus bulbosus","8","6","2","7","7","5"
"142","488","Alopecurus geniculatus","9","6","3","8","7","7"
"143","489","Alopecurus myosuroides","6","6","3","5","7","6"
"144","490","Alopecurus pratensis","6","x","5","6","6","7"
"145","491","Alopecurus utriculatus","8","7","4","6","8","4"
"146","494","Althaea hirsuta","7","8","5","4","8","3"
"147","495","Althaea officinalis","6","7","6","7","8","4"
"148","498","Alyssum alyssoides","9","6","4","3","8","1"
"149","500","Alyssum montanum","9","6","4","2","7","1"
"150","512","Amaranthus albus","8","8","6","2","x","7"
"151","513","Amaranthus blitoides","9","7","6","3","x","8"
"152","520","Amaranthus deflexus","8","9","?","4","7","7"
"153","522","Amaranthus graecizans","9","9","x","3","9","8"
"154","523","Amaranthus hybridus agg.","8","8","5","4","7","7"
"155","533","Amaranthus lividus (viridis, blitum)","8","7","3","4","x","8"
"156","527","Amaranthus powellii","8","7","5","4","8","6"
"157","529","Amaranthus retroflexus","8","7","6","4","7","7"
"158","549","Ambrosia artemisiifolia","9","7","?","4","8","6"
"159","0","Ambrosia psilostachya","9","8","?","3","8","4"
"160","552","Amelanchier lamarckii","6","6","2","5","3","3"
"161","553","Amelanchier ovalis","7","x","4","3","x","3"
"162","556","Ammi majus","7","8","3","4","8","7"
"163","0","x Ammocalamagrostis baltica","8","6","3","4","x","2"
"164","0","Ammophila arenaria","9","6","3","4","7","5"
"165","567","Anacamptis pyramidalis","8","7","2","3","9","2"
"166","576","Anagallis arvensis","6","6","3","5","x","6"
"167","577","Anagallis foemina","8","7","5","4","9","5"
"168","578","Anagallis tenella","8","6","1","9","x","2"
"169","0","Anarrhinum bellidifolium","8","7","2","4","4","3"
"170","599","Lycopsis arvensis","7","6","6","4","x","4"
"171","603","Anchusa officinalis","9","7","5","3","7","5"
"172","624","Andromeda polifolia","9","4","5","9","1","1"
"173","626","Androsace alpina","9","1","?","6","2","3"
"174","627","Androsace chamaejasme","9","2","6","5","9","2"
"175","628","Androsace elongata","9","8","7","2","6","1"
"176","629","Androsace hausmannii","9","1","4","3","9","2"
"177","630","Androsace helvetica","9","2","4","x","8","2"
"178","631","Androsace lactea","8","3","4","4","9","3"
"179","632","Androsace maxima","7","8","7","4","7","3"
"180","633","Androsace obtusifolia","8","2","4","5","1","1"
"181","634","Androsace septentrionalis","8","7","7","2","5","2"
"182","0","Androsace vandellii","9","2","4","4","4","2"
"183","646","Anemone narcissiflora","8","3","2","5","7","4"
"184","647","Anemone nemorosa","x","x","3","5","x","x"
"185","648","Anemone ranunculoides","3","6","4","6","8","8"
"186","649","Anemone sylvestris","7","7","7","3","7","3"
"187","656","Angelica archangelica","7","6","5","9","x","9"
"188","659","Angelica palustris","7","6","6","8","x","?"
"189","660","Angelica sylvestris","7","x","4","8","x","4"
"190","686","Antennaria carpatica","8","2","x","5","6","2"
"191","687","Antennaria dioica","8","x","x","4","3","2"
"192","693","Anthemis arvensis","7","6","5","4","6","6"
"193","694","Anthemis austriaca","8","7","6","3","9","5"
"194","696","Anthemis cotula","7","6","3","4","x","5"
