taxon;vernacular.name;law.s;rl.s;remarks
Abies alba;Edel-Tanne;;3;
Acer campestre;Feld-Ahorn;;3;
Achillea clavennae;Steinraute;;5;ungefährdet - in der Grauwackenzone: potenziell gefährdet
Achnatherum calamagrostis;Raugras;;4;
Aconitum degenii ssp. paniculatum;Gewöhnlicher Rispen-Eisenhut;3;;
Aconitum degenii ssp. paniculatum var. laxiflorum;Lockerblütiger Gewöhnlicher Rispen-Eisenhut;3;;
Aconitum degenii ssp. paniculatum var. turrachense;Turracher Rispen-Eisenhut;3;;
Aconitum napellus;Echt-Eisenhut;3;;
Aconitum napellus ssp. formosum;Schöner Echt-Eisenhut;3;3;
Aconitum napellus ssp. lobelii;Mariazeller Echt-Eisenhut;3;;
Aconitum napellus ssp. napellus;Eigentlicher Echt-Eisenhut;3;5;potenziell gefährdet - im Flachgau: stark gefährdet
Aconitum tauricum;Tauern-Eisenhut;3;;
Aconitum tauricum ssp. latemarense;Südtiroler Tauern-Eisenhut;3;;
Aconitum tauricum ssp. tauricum;Eigentlicher Tauern-Eisenhut;3;;
Aconitum tauricum ssp. tauricum var. tauricum;Eigentlicher Tauern-Eisenhut;3;;
Acorus calamus;Arznei-Kalmus;2;;
Adonis aestivalis;Sommer-Adonis;;0;
Adonis flammea;Scharlach-Adonis;;0;
Aethionema saxatile;Felsen-Steintäschel;;0;
Agrimonia procera;Duft-Odermennig;;4;
Agrostemma githago;Kornrade;;0;
Agrostis agrostiflora;Schilf-Straußgras;;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Agrostis canina;Sumpf-Straußgras;;4;
Ajuga genevensis;Zottel-Günsel;;3;
Alchemilla alpina;Alpen-Silbermantel;;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Alchemilla alpina agg.;Sammelart Alpen-Silbermantel;;5;ungefährdet - in den Kalkalpen: potenziell gefährdet
Alchemilla anisiaca;Ennstal-Silbermantel;;5;ungefährdet - in den Niederen Tauern: potenziell gefährdet
Alchemilla conjuncta agg.;Sammelart Verbundener Frauenmantel;;5;ungefährdet - in der Grauwackenzone und den Niederen Tauern: potenziell gefährdet
Alchemilla hoppeana;Kalk-Silbermantel;;5;ungefährdet - in der Grauwackenzone und den Niederen Tauern: potenziell gefährdet
Alchemilla nitida;Glanz-Silbermantel;;4;
Alchemilla pallens;Blassgrün-Silbermantel;;5;ungefährdet - in der Grauwackenzone und den Niederen Tauern: potenziell gefährdet
Alisma plantago-aquatica;Gewöhnlich-Froschlöffel;;3;
Allium angulosum;Kanten-Lauch;;0;
Allium carinatum;Kiel-Lauch;;5;ungefährdet - im Inneren Salzachtal: ausgerottet, erloschen, verschollen
Allium carinatum ssp. carinatum;Eigentlicher Kiel-Lauch;;5;ungefährdet - im Inneren Salzachtal: ausgerottet, erloschen, verschollen
Allium oleraceum;Glocken-Lauch;;5;ungefährdet - im Flachgau, den Kalkalpen und im Inneren Salzachtal: gefährdet
Allium strictum;Steif-Lauch;;4;
Anacamptis coriophora;Wanzen-Hundswurz;2;0;
Anacamptis coriophora ssp. coriophora;Eigentliche Wanzen-Hundswurz;2;0;
Anacamptis morio;Klein-Hundswurz;2;1;
Anacamptis palustris;Sumpf-Hundswurz;2;0;
Anacamptis palustris ssp. palustris;Eigentliche Sumpf-Hundswurz;2;0;
Anagallis tenella;Zart-Gauchheil;;1;
Andromeda polifolia;Europa-Rosmarinheide;;3;
Androsace alpina;Alpen-Mannsschild;1;5;ungefährdet - in der Grauwackenzone: potenziell gefährdet
Androsace chamaejasme;Wimper-Mannsschild;1;;
Androsace hausmannii;Dolomiten-Mannsschild;1;4;
Androsace helvetica;Schweiz-Mannsschild;1;;
Androsace lactea;Milch-Mannsschild;1;;
Androsace obtusifolia;Stumpfblatt-Mannsschild;1;;
Androsace wulfeniana;Wulfen-Mannsschild;1;4;
Anemonastrum narcissiflorum;Alpen-Berghähnlein;1;;
Anemone baldensis;Baldo-Windröschen;;4;
Anemone ranunculoides;Gelb-Windröschen;;5;ungefährdet - in der Grauwackenzone: gefährdet
Anemone trifolia;Dreiblättchen-Anemone;;3;
