SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
1;ABIEALB;Abies alba;Abies alba;;;FALSCH;1
2;ABIESP.;Abies sp.;Abies sp.;;;FALSCH;2
3;ABITABI;Abietinella abietina;Abietinella abietina;;;FALSCH;3
4;ABITABE;Abieti abieti v. abiet;Abietinella abietina var. abietina;;;FALSCH;4
5;ABITABT;Abieti abieti v. hystr;Abietinella abietina var. hystricosa;;;FALSCH;5
6;ABITSP.;Abietinella sp.;Abietinella sp.;;;FALSCH;6
7;ABROBER;Abrothallus bertianus;Abrothallus bertianus;;;FALSCH;7
8;ABROCAE;Abrothallus caerulesce;Abrothallus caerulescens;;;FALSCH;8
9;ABROCET;Abrothallus cetrariae;Abrothallus cetrariae;;;FALSCH;9
10;ABROMIC;Abrothallus microsperm;Abrothallus microspermus;;;FALSCH;10
11;ABROPAR;Abrothallus parmelianu;Abrothallus parmelianus;;;FALSCH;11
12;ABROPEY;Abrothallus peyritschi;Abrothallus peyritschii;;;FALSCH;12
13;ABROPRO;Abrothallus prodiens;Abrothallus prodiens;;;FALSCH;13
14;ABROUSN;Abrothallus usneae;Abrothallus usneae;;;FALSCH;14
15;ABROSP.;Abrothallus sp.;Abrothallus sp.;;;FALSCH;15
16;ABSCANN;Absconditella annexa;Absconditella annexa;;;FALSCH;16
17;ABSCDEL;Absconditella delutula;Absconditella delutula;;;FALSCH;17
18;ABSCFOS;Absconditella fossarum;Absconditella fossarum;;;FALSCH;18
19;ABSCLIG;Absconditell lignicola;Absconditella lignicola;;;FALSCH;19
20;ABSCSPH;Absconditel sphagnorum;Absconditella sphagnorum;;;FALSCH;20
21;ABSCTRI;Absconditell trivialis;Absconditella trivialis;;;FALSCH;21
22;ABSCSP.;Absconditella sp.;Absconditella sp.;;;FALSCH;22
23;ABUTTHE;Abutilon theophrasti;Abutilon theophrasti;;;FALSCH;23
24;ABUTSP.;Abutilon sp.;Abutilon sp.;;;FALSCH;24
25;ACALVIR;Acalypha virginica;Acalypha virginica;;;FALSCH;25
26;ACALSP.;Acalypha sp.;Acalypha sp.;;;FALSCH;26
27;ACARADM;Acarospora admissa;Acarospora admissa;;;FALSCH;27
28;ACARATR;Acarospora atrata;Acarospora atrata;;;FALSCH;28
29;ACARAUS;Acarospora austriaca;Acarospora austriaca;;;FALSCH;29
30;ACARBAD;Acarospora badiofusca;Acarospora badiofusca;;;FALSCH;30
31;ACARBAI;Acaros badiof s. badio;Acarospora badiofusca ssp. badiorubra;;;FALSCH;31
32;ACARBUL;Acarospora bullata;Acarospora bullata;;;FALSCH;32
33;ACARCER;Acarospora cervina;Acarospora cervina;;;FALSCH;33
34;ACARCEV;Acaros cervin v. consp;Acarospora cervina var. conspersa;;;FALSCH;34
35;ACARCOM;Acarospora complanata;Acarospora complanata;;;FALSCH;35
36;ACARFRE;Acarospora freyi;Acarospora freyi;;;FALSCH;36
37;ACARFUS;Acarospora fuscata;Acarospora fuscata;;;FALSCH;37
38;ACARGAL;Acarospora gallica;Acarospora gallica;;;FALSCH;38
39;ACARGLA;Acarospora glaucocarpa;Acarospora glaucocarpa;;;FALSCH;39
40;ACARHEP;Acarospora heppii;Acarospora heppii;;;FALSCH;40
41;ACARHEU;Acarospora heufleriana;Acarospora heufleriana;;;FALSCH;41
42;ACARHOS;Acarospora hospitans;Acarospora hospitans;;;FALSCH;42
43;ACARHOT;Acarospora hostilis;Acarospora hostilis;;;FALSCH;43
44;ACARHUN;Acarospora hungarica;Acarospora hungarica;;;FALSCH;44
45;ACARIMP;Acarospora impressula;Acarospora impressula;;;FALSCH;45
46;ACARINS;Acarospora insolata;Acarospora insolata;;;FALSCH;46
47;ACARINT;Acarospora intricata;Acarospora intricata;;;FALSCH;47
48;ACARMAC;Acarospora macrospora;Acarospora macrospora;;;FALSCH;48
49;ACARMEL;Acarospora melaphaca;Acarospora melaphaca;;;FALSCH;49
50;ACARMIS;Acarospora miskoliensi;Acarospora miskoliensis;;;FALSCH;50
51;ACARNIT;Acarospora nitrophila;Acarospora nitrophila;;;FALSCH;51
52;ACARNIR;Acaros nitrop v. praer;Acarospora nitrophila var. praeruptor;;;FALSCH;52
53;ACARNIO;Acaros nitrop v. suzai;Acarospora nitrophila var. suzai;;;FALSCH;53
54;ACAROLI;Acarospora oligospora;Acarospora oligospora;;;FALSCH;54
55;ACARPEL;Acarospora peliscypha;Acarospora peliscypha;;;FALSCH;55
56;ACARPYR;Acarospora pyrenopsoid;Acarospora pyrenopsoides;;;FALSCH;56
57;ACARRUG;Acarospora rugulosa;Acarospora rugulosa;;;FALSCH;57
58;ACARSCA;Acarospora scabrida;Acarospora scabrida;;;FALSCH;58
59;ACARSIN;Acarospora sinopica;Acarospora sinopica;;;FALSCH;59
60;ACARSMA;Acarospora smaragdula;Acarospora smaragdula;;;FALSCH;60
61;ACARSMR;Acaros smarag v. lesda;Acarospora smaragdula var. lesdainii;;;FALSCH;61
62;ACARSMG;Acaros smarag v. rufes;Acarospora smaragdula var. rufescens;;;FALSCH;62
63;ACARSMD;Acaros smarag v. smara;Acarospora smaragdula var. smaragdula;;;FALSCH;63
64;ACARTEN;Acarospora tenuicortic;Acarospora tenuicorticata;;;FALSCH;64
65;ACARTON;Acarospora tongletii;Acarospora tongletii;;;FALSCH;65
66;ACARTRU;Acarospora truncata;Acarospora truncata;;;FALSCH;66
67;ACARTYR;Acarospora tyroliensis;Acarospora tyroliensis;;;FALSCH;67
68;ACARUMB;Acarospora umbilicata;Acarospora umbilicata;;;FALSCH;68
69;ACARVAR;Acarospora variegata;Acarospora variegata;;;FALSCH;69
70;ACARVER;Acarospora veronensis;Acarospora veronensis;;;FALSCH;70
71;ACARVES;Acarospora versicolor;Acarospora versicolor;;;FALSCH;71
72;ACARSP.;Acarospora sp.;Acarospora sp.;;;FALSCH;72
73;ACAUCAS;Acaulon casasianum;Acaulon casasianum;;;FALSCH;73
74;ACAUDER;Acaulon dertosense;Acaulon dertosense;;;FALSCH;74
75;ACAUFON;Acaulon fontiquerianum;Acaulon fontiquerianum;;;FALSCH;75
76;ACAUMUT;Acaulon muticum;Acaulon muticum;;;FALSCH;76
77;ACAUPIL;Acaulon piligerum;Acaulon piligerum;;;FALSCH;77
78;ACAUTRI;Acaulon triquetrum;Acaulon triquetrum;;;FALSCH;78
79;ACAUSP.;Acaulon sp.;Acaulon sp.;;;FALSCH;79
80;ACERCAM;Acer campestre;Acer campestre;;;FALSCH;80
81;ACERMON;Acer monspessulanum;Acer monspessulanum;;;FALSCH;81
82;ACERNEG;Acer negundo;Acer negundo;;;FALSCH;82
83;ACERPLA;Acer platanoides;Acer platanoides;;;FALSCH;83
84;ACERPSE;Acer pseudoplatanus;Acer pseudoplatanus;;;FALSCH;84
85;ACERPSU;"Acer pseudo mod. ""pros";"Acer pseudoplatanus mod. ""prostrata""";;;FALSCH;85
86;ACERSAC;Acer saccharinum;Acer saccharinum;;;FALSCH;86
87;ACERSAH;Acer saccharum;Acer saccharum;;;FALSCH;87
88;ACERTAT;Acer tataricum;Acer tataricum;;;FALSCH;88
89;ACERSP.;Acer sp.;Acer sp.;;;FALSCH;89
90;ACERANT;Aceras anthropophorum;Aceras anthropophorum;;;FALSCH;90
91;ACERSPA;Aceras sp.;Aceras sp.;;;FALSCH;91
92;ACHIAGE;Achillea ageratum;Achillea ageratum;;;FALSCH;92
93;ACHIASP;Achillea aspleniifolia;Achillea aspleniifolia;;;FALSCH;93
94;ACHIATA;Achillea atrata ag.;Achillea atrata agg.;;;FALSCH;94
95;ACHIATR;Achillea atrata;Achillea atrata;;;FALSCH;95
