Code,Name,Status,Class,Family
FAG,Abies alba* ,,Gymno,Pinaceae
PIC,Abies alba* ,,Gymno,Pinaceae
FAG,Abies borisii-regis,,Gymno,Pinaceae
PUB,Abies cephalonica ,,Gymno,Pinaceae
PIC,Abies nordmanniana,,Gymno,Pinaceae
FAG,Abies pinsapo,,Gymno,Pinaceae
ASA,Abies sibirica,,Gymno,Pinaceae
FES,Abietinella abietina* ,,Moss,Thuidiaceae
SED,Abietinella abietina* ,,Moss,Thuidiaceae
BID,Abutilon theophrasti*,A,Eudicot,Malvaceae
PAR,Abutilon theophrasti*,A,Eudicot,Malvaceae
QUE,Acacia dealbata ,A,Eudicot,Fabaceae
CHE,Acalypha virginica ,A,Eudicot,Euphorbiaceae
ALN,Acanthocoleus aberrans ,,Liver,Lejeuneaceae
DAP,Acantholimon aegaeum,,Eudicot,Plumbaginaceae
DAP,Acantholimon androsaceum,,Eudicot,Plumbaginaceae
PUB,Acanthus hungaricus,,Eudicot,Acanthaceae
EPI,Acanthus mollis ,,Eudicot,Acanthaceae
LYG,Acaulon casasianum,,Moss,Pottiaceae
ROS,Acaulon dertosense,,Moss,Pottiaceae
ROS,Acaulon fontiquerianum,,Moss,Pottiaceae
FES,Acaulon muticum,,Moss,Pottiaceae
FES,Acaulon piligerum,,Moss,Pottiaceae
FES,Acaulon triquetrum,,Moss,Pottiaceae
FAG,Acer campestre* ,,Eudicot,Sapindaceae
POP,Acer campestre* ,,Eudicot,Sapindaceae
RHA,Acer campestre* ,,Eudicot,Sapindaceae
FAG,Acer cappadocicum,,Eudicot,Sapindaceae
PUB,Acer granatense ,,Eudicot,Sapindaceae
FAG,Acer heldreichii subsp. heldreichii ,,Eudicot,Sapindaceae
FAG,Acer heldreichii subsp. visianii ,,Eudicot,Sapindaceae
PUB,Acer hyrcanum subsp. hyrcanum,,Eudicot,Sapindaceae
FAG,Acer hyrcanum subsp. stevenii*,,Eudicot,Sapindaceae
PUB,Acer hyrcanum subsp. stevenii*,,Eudicot,Sapindaceae
FAG,Acer lobelii ,,Eudicot,Sapindaceae
PUB,Acer monspessulanum ,,Eudicot,Sapindaceae
ROB,Acer negundo,A,Eudicot,Sapindaceae
PUB,Acer obtusatum subsp. neapolitanum ,,Eudicot,Sapindaceae
PUB,Acer opalus var. montsiccianum,,Eudicot,Sapindaceae
PUB,Acer opalus var. opalus ,,Eudicot,Sapindaceae
FAG,Acer platanoides ,,Eudicot,Sapindaceae
FAG,Acer pseudoplatanus ,,Eudicot,Sapindaceae
POP,Acer saccharinum ,A,Eudicot,Sapindaceae
QUI,Acer sempervirens ,,Eudicot,Sapindaceae
PUB,Acer tataricum ,,Eudicot,Sapindaceae
THL,Achillea abrotanoides,,Eudicot,Asteraceae
ASP,Achillea ageratifolia ,,Eudicot,Asteraceae
MOL,Achillea ageratum,,Eudicot,Asteraceae
FEP,Achillea aspleniifolia* ,,Eudicot,Asteraceae
MOL,Achillea aspleniifolia* ,,Eudicot,Asteraceae
THL,Achillea atrata ,,Eudicot,Asteraceae
THL,Achillea barrelieri subsp. barrelieri,,Eudicot,Asteraceae
ASP,Achillea barrelieri subsp. mucronulata* ,,Eudicot,Asteraceae
THL,Achillea barrelieri subsp. mucronulata* ,,Eudicot,Asteraceae
ASP,Achillea chamaemelifolia*,,Eudicot,Asteraceae
THL,Achillea chamaemelifolia*,,Eudicot,Asteraceae
SES,Achillea clavennae ,,Eudicot,Asteraceae
THL,Achillea clusiana ,,Eudicot,Asteraceae
FES,Achillea clypeolata ,,Eudicot,Asteraceae
FES,Achillea coarctata,,Eudicot,Asteraceae
FES,Achillea collina ,,Eudicot,Asteraceae
ROS,Achillea cretica ,,Eudicot,Asteraceae
FES,Achillea crithmifolia ,,Eudicot,Asteraceae
GER,Achillea distans subsp. distans,,Eudicot,Asteraceae
GER,Achillea distans subsp. stricta* ,,Eudicot,Asteraceae
MOL,Achillea distans subsp. stricta* ,,Eudicot,Asteraceae
MUL,Achillea distans subsp. tanacetifolia,,Eudicot,Asteraceae
THL,Achillea erba-rotta subsp. erba-rotta ,,Eudicot,Asteraceae
THL,Achillea erba-rotta subsp. moschata ,,Eudicot,Asteraceae
ART,Achillea filipendulina ,A,Eudicot,Asteraceae
ASP,Achillea fraasii* ,,Eudicot,Asteraceae
DAP,Achillea fraasii* ,,Eudicot,Asteraceae
SED,Achillea glaberrima,,Eudicot,Asteraceae
SES,Achillea holosericea ,,Eudicot,Asteraceae
MOL,Achillea inundata,,Eudicot,Asteraceae
FES,Achillea leptophylla,,Eudicot,Asteraceae
LYG,Achillea ligustica ,,Eudicot,Asteraceae
SES,Achillea lingulata ,,Eudicot,Asteraceae
VIR,Achillea macrophylla ,,Eudicot,Asteraceae
AMM,Achillea maritima ,,Eudicot,Asteraceae
PYR,Achillea micrantha*,,Eudicot,Asteraceae
COR,Achillea micrantha* ,,Eudicot,Asteraceae
MOL,Achillea micranthoides,,Eudicot,Asteraceae
ART,Achillea millefolium subsp. millefolium* ,,Eudicot,Asteraceae
BRA,Achillea millefolium subsp. millefolium* ,,Eudicot,Asteraceae
MOL,Achillea millefolium subsp. millefolium* ,,Eudicot,Asteraceae
MOL,Achillea millefolium subsp. sudetica* ,,Eudicot,Asteraceae
MUL,Achillea millefolium subsp. sudetica* ,,Eudicot,Asteraceae
THL,Achillea nana ,,Eudicot,Asteraceae
FES,Achillea nobilis subsp. neilreichii,,Eudicot,Asteraceae
FES,Achillea nobilis subsp. nobilis,,Eudicot,Asteraceae
THL,Achillea occulta ,,Eudicot,Asteraceae
FES,Achillea ochroleuca,,Eudicot,Asteraceae
ONO,Achillea odorata,,Eudicot,Asteraceae
THL,Achillea oxyloba subsp. oxyloba,,Eudicot,Asteraceae
ASP,Achillea oxyloba subsp. schurii* ,,Eudicot,Asteraceae
SES,Achillea oxyloba subsp. schurii* ,,Eudicot,Asteraceae
THL,Achillea oxyloba subsp. schurii* ,,Eudicot,Asteraceae
FES,Achillea pannonica ,,Eudicot,Asteraceae
MOL,Achillea pratensis ,,Eudicot,Asteraceae
MOL,Achillea ptarmica,,Eudicot,Asteraceae
MUL,Achillea pyrenaica,,Eudicot,Asteraceae
MOL,Achillea roseoalba ,,Eudicot,Asteraceae
ASP,Achillea rupestris subsp. lucana ,,Eudicot,Asteraceae
THL,Achillea rupestris subsp. rupestris ,,Eudicot,Asteraceae
CHE,Achillea santolinoides,,Eudicot,Asteraceae
FES,Achillea setacea ,,Eudicot,Asteraceae
FES,Achillea stepposa,,Eudicot,Asteraceae
GER,Achillea styriaca ,,Eudicot,Asteraceae
FES,Achillea tomentosa* ,,Eudicot,Asteraceae
ONO,Achillea tomentosa* ,,Eudicot,Asteraceae
FES,Achillea virescens ,,Eudicot,Asteraceae
FES,Achnatherum bromoides*,,Monocotyl,Poaceae
LYG,Achnatherum bromoides*,,Monocotyl,Poaceae
PUB,Achnatherum bromoides*,,Monocotyl,Poaceae
THL,Achnatherum calamagrostis ,,Monocotyl,Poaceae
BUL,Acis autumnalis,,Monocotyl,Amaryllidaceae
ROS,Acis fabrei,,Monocotyl,Amaryllidaceae
LYG,Acis nicaeensis ,,Monocotyl,Amaryllidaceae
TUB,Acis trichophylla,,Monocotyl,Amaryllidaceae
LYG,Acis valentina,,Monocotyl,Amaryllidaceae
GER,Aconitum angustifolium ,,Eudicot,Ranunculaceae
FES,Aconitum anthora*,,Eudicot,Ranunculaceae
GER,Aconitum anthora*,,Eudicot,Ranunculaceae
MUL,Aconitum burnatii,,Eudicot,Ranunculaceae
MUL,Aconitum degenii,,Eudicot,Ranunculaceae
FAG,Aconitum lycoctonum subsp. lasiostomum,,Eudicot,Ranunculaceae
ASA,Aconitum lycoctonum subsp. lycoctonum* ,,Eudicot,Ranunculaceae
BRA,Aconitum lycoctonum subsp. lycoctonum* ,,Eudicot,Ranunculaceae
MUL,Aconitum lycoctonum subsp. lycoctonum* ,,Eudicot,Ranunculaceae
MUL,Aconitum lycoctonum subsp. neapolitanum,,Eudicot,Ranunculaceae
FAG,Aconitum lycoctonum subsp. vulparia*,,Eudicot,Ranunculaceae
MUL,Aconitum lycoctonum subsp. vulparia*,,Eudicot,Ranunculaceae
MUL,Aconitum napellus subsp. lusitanicum*,,Eudicot,Ranunculaceae
PUR,Aconitum napellus subsp. lusitanicum*,,Eudicot,Ranunculaceae
MUL,Aconitum napellus subsp. napellus ,,Eudicot,Ranunculaceae
MUL,Aconitum napellus subsp. vulgare,,Eudicot,Ranunculaceae
MUL,Aconitum pilipes ,,Eudicot,Ranunculaceae
MUL,Aconitum plicatum,,Eudicot,Ranunculaceae
MUL,Aconitum tauricum,,Eudicot,Ranunculaceae
MUL,Aconitum toxicum ,,Eudicot,Ranunculaceae
MUL,Aconitum variegatum subsp. nasutum   ,,Eudicot,Ranunculaceae
MUL,Aconitum variegatum subsp. pyrenaicum,,Eudicot,Ranunculaceae
MUL,Aconitum variegatum subsp. variegatum ,,Eudicot,Ranunculaceae
MOL,Aconogonon alpinum*,,Eudicot,Polygonaceae
THL,Aconogonon alpinum*,,Eudicot,Polygonaceae
PHR,Acorus calamus ,,Monocotyl,Araceae
BRA,Actaea europaea*,,Eudicot,Ranunculaceae
PIC,Actaea europaea*,,Eudicot,Ranunculaceae
FAG,Actaea spicata ,,Eudicot,Ranunculaceae
CYT,Adenocarpus anisochilus,,Eudicot,Fabaceae
CYT,Adenocarpus argyrophyllus,,Eudicot,Fabaceae
CYT,Adenocarpus aureus,,Eudicot,Fabaceae
CYT,Adenocarpus complicatus,,Eudicot,Fabaceae
CYT,Adenocarpus decorticans ,,Eudicot,Fabaceae
LAU,Adenocarpus foliolosus ,,Eudicot,Fabaceae
CYT,Adenocarpus gibbsianus,,Eudicot,Fabaceae
CYT,Adenocarpus hispanicus,,Eudicot,Fabaceae
CYT,Adenocarpus lainzii,,Eudicot,Fabaceae
LAU,Adenocarpus ombriosus ,,Eudicot,Fabaceae
CYT,Adenocarpus telonensis,,Eudicot,Fabaceae
CAN,Adenocarpus viscosus subsp. spartioides,,Eudicot,Fabaceae
CAN,Adenocarpus viscosus subsp. viscosus,,Eudicot,Fabaceae
BRA,Adenophora liliifolia*,,Eudicot,Campanulaceae
MOL,Adenophora liliifolia*,,Eudicot,Campanulaceae
ERI,Adenophora taurica ,,Eudicot,Campanulaceae
MUL,Adenostyles alliariae* ,,Eudicot,Asteraceae
PIC,Adenostyles alliariae* ,,Eudicot,Asteraceae
PIC,Adenostyles alpina subsp. alpina*,,Eudicot,Asteraceae
THL,Adenostyles alpina subsp. alpina*,,Eudicot,Asteraceae
MUL,Adenostyles alpina subsp. briquetii,,Eudicot,Asteraceae
MUL,Adenostyles alpina subsp. pyrenaica,,Eudicot,Asteraceae
MUL,Adenostyles leucophylla* ,,Eudicot,Asteraceae
THL,Adenostyles leucophylla* ,,Eudicot,Asteraceae
ADI,Adiantum capillus-veneris ,,Fern,Adiantaceae
ADI,Adiantum raddianum,A,Fern,Adiantaceae
ASP,Adiantum reniforme var. pusillum,,Fern,Adiantaceae
ADI,Adiantum reniforme var. reniforme*,,Fern,Adiantaceae
