taxon,evc.class.code
Abies alba,FAG+PIC
Abies borisii-regis,FAG
Abies cephalonica,PUB
Abies nordmanniana,PIC
Abies pinsapo,FAG
Abies sibirica,ASA
Abietinella abietina,FES+SED
Abutilon theophrasti,BID+PAR
Acacia dealbata,QUE
Acalypha virginica,CHE
Acanthocoleus aberrans,ALN
Acantholimon aegaeum,DAP
Acantholimon androsaceum,DAP
Acanthus hungaricus,PUB
Acanthus mollis,EPI
Acaulon casasianum,LYG
Acaulon dertosense,ROS
Acaulon fontiquerianum,ROS
Acaulon muticum,FES
Acaulon piligerum,FES
Acaulon triquetrum,FES
Acer campestre,FAG+POP+RHA
Acer cappadocicum,FAG
Acer granatense,PUB
Acer heldreichii subsp. heldreichii,FAG
Acer heldreichii subsp. visianii,FAG
Acer hyrcanum subsp. hyrcanum,PUB
Acer hyrcanum subsp. stevenii,FAG+PUB
Acer lobelii,FAG
Acer monspessulanum,PUB
Acer negundo,ROB
Acer obtusatum subsp. neapolitanum,PUB
Acer opalus var. montsiccianum,PUB
Acer opalus var. opalus,PUB
Acer platanoides,FAG
Acer pseudoplatanus,FAG
Acer saccharinum,POP
Acer sempervirens,QUI
Acer tataricum,PUB
Achillea abrotanoides,THL
Achillea ageratifolia,ASP
Achillea ageratum,MOL
Achillea aspleniifolia,FEP+MOL
Achillea atrata,THL
Achillea barrelieri subsp. barrelieri,THL
Achillea barrelieri subsp. mucronulata,ASP+THL
Achillea chamaemelifolia,ASP+THL
Achillea clavennae,SES
Achillea clusiana,THL
Achillea clypeolata,FES
Achillea coarctata,FES
Achillea collina,FES
Achillea cretica,ROS
Achillea crithmifolia,FES
Achillea distans subsp. distans,GER
Achillea distans subsp. stricta,GER+MOL
Achillea distans subsp. tanacetifolia,MUL
Achillea erba-rotta subsp. erba-rotta,THL
Achillea erba-rotta subsp. moschata,THL
Achillea filipendulina,ART
Achillea fraasii,ASP+DAP
Achillea glaberrima,SED
Achillea holosericea,SES
Achillea inundata,MOL
Achillea leptophylla,FES
Achillea ligustica,LYG
Achillea lingulata,SES
Achillea macrophylla,VIR
Achillea maritima,AMM
Achillea micrantha,COR+PYR
Achillea micranthoides,MOL
Achillea millefolium subsp. millefolium,ART+BRA+MOL
Achillea millefolium subsp. sudetica,MOL+MUL
Achillea nana,THL
Achillea nobilis subsp. neilreichii,FES
Achillea nobilis subsp. nobilis,FES
Achillea occulta,THL
Achillea ochroleuca,FES
Achillea odorata,ONO
Achillea oxyloba subsp. oxyloba,THL
Achillea oxyloba subsp. schurii,ASP+SES+THL
Achillea pannonica,FES
Achillea pratensis,MOL
Achillea ptarmica,MOL
Achillea pyrenaica,MUL
Achillea roseoalba,MOL
Achillea rupestris subsp. lucana,ASP
Achillea rupestris subsp. rupestris,THL
Achillea santolinoides,CHE
Achillea setacea,FES
Achillea stepposa,FES
Achillea styriaca,GER
Achillea tomentosa,FES+ONO
Achillea virescens,FES
Achnatherum bromoides,FES+LYG+PUB
Achnatherum calamagrostis,THL
Acis autumnalis,BUL
Acis fabrei,ROS
Acis nicaeensis,LYG
Acis trichophylla,TUB
Acis valentina,LYG
Aconitum angustifolium,GER
Aconitum anthora,FES+GER
Aconitum burnatii,MUL
Aconitum degenii,MUL
Aconitum lycoctonum subsp. lasiostomum,FAG
Aconitum lycoctonum subsp. lycoctonum,ASA+BRA+MUL
Aconitum lycoctonum subsp. neapolitanum,MUL
Aconitum lycoctonum subsp. vulparia,FAG+MUL
Aconitum napellus subsp. lusitanicum,MUL+PUR
Aconitum napellus subsp. napellus,MUL
Aconitum napellus subsp. vulgare,MUL
Aconitum pilipes,MUL
Aconitum plicatum,MUL
Aconitum tauricum,MUL
Aconitum toxicum,MUL
Aconitum variegatum subsp. nasutum,MUL
Aconitum variegatum subsp. pyrenaicum,MUL
Aconitum variegatum subsp. variegatum,MUL
Aconogonon alpinum,MOL+THL
Acorus calamus,PHR
Actaea europaea,BRA+PIC
Actaea spicata,FAG
Adenocarpus anisochilus,CYT
Adenocarpus argyrophyllus,CYT
Adenocarpus aureus,CYT
Adenocarpus complicatus,CYT
Adenocarpus decorticans,CYT
Adenocarpus foliolosus,LAU
Adenocarpus gibbsianus,CYT
Adenocarpus hispanicus,CYT
Adenocarpus lainzii,CYT
Adenocarpus ombriosus,LAU
Adenocarpus telonensis,CYT
Adenocarpus viscosus subsp. spartioides,CAN
Adenocarpus viscosus subsp. viscosus,CAN
Adenophora liliifolia,BRA+MOL
Adenophora taurica,ERI
Adenostyles alliariae,MUL+PIC
Adenostyles alpina subsp. alpina,PIC+THL
Adenostyles alpina subsp. briquetii,MUL
Adenostyles alpina subsp. pyrenaica,MUL
Adenostyles leucophylla,MUL+THL
Adiantum capillus-veneris,ADI
Adiantum raddianum,ADI
Adiantum reniforme var. pusillum,ASP
Adiantum reniforme var. reniforme,ADI+ASP
Adonis aestivalis subsp. aestivalis,PAR
Adonis aestivalis subsp. squarrosa,PAR
Adonis annua subsp. annua,PAR
Adonis annua subsp. cupaniana,PAR
Adonis distorta,THL
Adonis flammula,PAR
Adonis microcarpa,PAR
Adonis pyrenaica,SES+THL
Adonis vernalis,FES
Adonis volgensis,FES
Adoxa moschatellina,ASA+FAG
Aegilops caudata,TRA
Aegilops cylindrica,CHE
Aegilops geniculata,CHE
Aegilops neglecta,CHE
Aegilops triuncialis,CHE
Aegilops ventricosa,CHE
Aegopodium podagraria,EPI+POP+ROB
Aeluropus lagopoides,KAL
Aeluropus littoralis,AEL+FEP+KAL+TAM
Aeonium aizoon,AEO
Aeonium arboreum var. arboreum,KLE
Aeonium arboreum var. holochrysum,AEO+KLE
Aeonium arboreum var. rubrolineatum,AEO
Aeonium aureum,AEO
Aeonium balsamiferum,AEO
Aeonium canariense var. canariense,AEO
Aeonium canariense var. palmense,AEO
Aeonium canariense var. subplanum,AEO
Aeonium canariense var. virgineum,AEO
Aeonium castello-paivae,AEO
Aeonium ciliatum,AEO
Aeonium cuneatum,AEO
Aeonium davidbramwellii,AEO
Aeonium decorum,AEO
Aeonium diplocyclum,AEO
Aeonium dodrantale,AEO
Aeonium glandulosum,AEO
Aeonium glutinosum,AEO
Aeonium gomerense,AEO
Aeonium goochiae,AEO
Aeonium haworthii,AEO
Aeonium hierrense,AEO
Aeonium lancerottense,KLE
Aeonium lindleyi var. lindleyi,AEO
Aeonium lindleyi var. viscatum,AEO
Aeonium nobile,AEO
Aeonium percarneum,AEO+KLE
Aeonium saundersii,AEO
Aeonium sedifolium,AEO
Aeonium simsii,AEO
Aeonium smithii,AEO
Aeonium spathulatum,AEO
Aeonium tabuliforme,AEO
Aeonium undulatum,AEO
Aeonium urbicum,AEO
Aeonium valverdense,AEO
Aeonium X burchardii,AEO
Aeonium X mascaense,AEO
Aeonium X rowleyi,AEO
Aesculus hippocastanum,PUB
Aethionema saxatile subsp. graecum,THL
Aethionema saxatile subsp. ovalifolium,ONO+THL
Aethionema saxatile subsp. saxatile,SED+THL
Aethionema thomasianum,THL
Aethusa cynapium subsp. cynapium,PAR
Aethusa cynapium subsp. elata,EPI
Ageratina adenophora,EPI
Ageratina riparia,LAU
Agrimonia eupatoria,GER
Agrimonia pilosa,BRA+GER
Agrimonia procera,GER
Agrimonia repens,GER
Agropyron cristatum subsp. brandzae,FES
Agropyron cristatum subsp. cristatum,FES
Agropyron cristatum subsp. pectinatum,FES
Agropyron dasyanthum,COR
Agropyron desertorum,FES
Agrostemma githago subsp. githago,PAR
Agrostemma githago subsp. thessalum,LYG
Agrostis alpina,SES
Agrostis canina subsp. canina,ALN+SCH
Agrostis canina subsp. granatensis,SCH
Agrostis capillaris,GER+MOL+NAR
Agrostis castellana,PIL+SAC+TOL
Agrostis congestiflora subsp. oreophila,TOL
Agrostis curtisii,ULI
Agrostis gigantea subsp. gigantea,MOL
Agrostis gigantea subsp. maeotica,FEP
Agrostis gigantea subsp. pontica,COR
Agrostis gracililaxa var. gracililaxa,TOL
Agrostis hesperica,SCH
Agrostis lazica,HER
Agrostis mertensii,TRI
Agrostis nevadensis,TRI
Agrostis rupestris subsp. pyrenaica,TRI
Agrostis rupestris subsp. rupestris,PIL+TRI
Agrostis sabulicola,COR
Agrostis schleicheri,SES
Agrostis schraderiana,TRI
Agrostis stolonifera subsp. gaditana,ART
Agrostis stolonifera subsp. maritima,TUB
Agrostis stolonifera subsp. scabriglumis,MOL
Agrostis stolonifera subsp. stolonifera,MOL
Agrostis tileni,IND
Agrostis vinealis,COR
Agrostis X murbeckii,MOL
Aichryson bethencourtianum,AEO
Aichryson bituminosum,AEO
Aichryson bollei,AEO
Aichryson brevipetalum,AEO
Aichryson divaricatum,AEO
Aichryson dumosum,AEO
Aichryson laxum,AEO
Aichryson pachycaulon,AEO
Aichryson palmense,AEO
Aichryson parlatorei,AEO
Aichryson porphyrogennetos,AEO
Aichryson punctatum,AEO
Aichryson tortuosum,AEO
Aichryson villosum,AEO
Ailanthus altissima,ROB
Aira caryophyllea subsp. caryophyllea,COR+SED+TRA+TUB
Aira caryophyllea subsp. plesiantha,CHE+TUB
Aira cupaniana,TUB
Aira elegantissima,SED+TUB
Aira praecox,COR+SED+TUB
Aira tenorei,TUB
Airopsis tenella,TUB
Aizoon canariense,CHE
Aizoon hispanicum,CHE+SAG
Ajuga chamaepitys subsp. chamaepitys,PAR
Ajuga chamaepitys subsp. chia,FES
Ajuga genevensis,FES
Ajuga iva,PAR+TRA
Ajuga laxmannii,FES
Ajuga orientalis,ULI
Ajuga pyramidalis,NAR
Ajuga reptans,MOL
Alcea biennis,ART
Alcea rosea,ART
Alchemilla acrodon,MOL
Alchemilla acuminatidens,SES
Alchemilla acutata,TRI
Alchemilla acutidens,SES
Alchemilla acutiloba,MOL+MUL
Alchemilla aggregata,MON
Alchemilla alneti,VIR
Alchemilla alpigena,SES
Alchemilla alpina,TRI
Alchemilla amphibola,SES
Alchemilla amphisericea,ASP+SES
Alchemilla angustiserrata,ULI
Alchemilla anisiaca,SES
Alchemilla argentidens,LOI
Alchemilla atriuscula,ASP
Alchemilla atrovirens,SES
Alchemilla bonae,SES
Alchemilla brachetiana,ONO
Alchemilla buseri,SES
Alchemilla canifolia,MOL
Alchemilla carinthiaca,MOL
Alchemilla carniolica,SES
Alchemilla cataractarum,MUL
Alchemilla caucasica,ULI
Alchemilla cavillieri,SES
Alchemilla chirophylla,SES
Alchemilla cinerea,SES
Alchemilla colorata,MOL+SES
Alchemilla compta,MUL
Alchemilla conjuncta,SES
Alchemilla connivens,SES
Alchemilla controversa,SES
Alchemilla coriacea,MON
Alchemilla coruscans,SES
Alchemilla crenulata,ASP
Alchemilla crinita,MOL
Alchemilla curta,MON
Alchemilla curtiloba,MUL
Alchemilla cymatophylla,MOL
Alchemilla decumbens,HER+THL
Alchemilla delphinensis,SES
Alchemilla demissa,HER
